rank iteration lambda mse
8 20 0,01 0,025052
8 20 1,00 0,541242
8 20 10,00 0,541242
8 30 0,01 0,025057
8 30 1,00 0,541242
8 30 10,00 0,541242
12 20 0,01 0,024641
12 20 1,00 0,541242
12 20 10,00 0,541242
12 30 0,01 0,024587
12 30 1,00 0,541242
12 30 10,00 0,541242
